Date,Event_Type,Data_Type,Action,Details
2025-12-08 20:58:23,Ağ,Temiz,İZİN,vm_user_2->vm_user_1
2025-12-08 20:58:31,Ağ,Temiz,İZİN,vm_user_2->vm_user_1
2025-12-08 20:58:34,Ağ,Temiz,İZİN,vm_user_1->vm_user_2
2025-12-08 20:58:36,Ağ,Temiz,İZİN,vm_user_1->vm_user_2
2025-12-08 20:58:40,Ağ,Temiz,İZİN,vm_user_2->vm_user_1
2025-12-08 20:58:42,Ağ,Temiz,İZİN,vm_user_2->vm_user_1
2025-12-08 20:58:48,Ağ,KEYWORD,ENGEL,vm_user_1->vm_user_2
2025-12-09 17:29:04,Pano,ANAHTAR_KELİME,ENGEL,User: vm_user_1 | 
2025-12-09 17:30:06,Pano,TCKN,ENGEL,User: vm_user_1 | TC: ******0504
2025-12-09 17:31:57,Pano,ANAHTAR_KELİME,ENGEL,User: vm_user_1 | 
2025-12-09 17:32:40,Ağ,Temiz,İZİN,vm_user_2->vm_user_1
2025-12-09 17:32:57,Ağ,TCKN,ENGEL,vm_user_2->vm_user_1
2025-12-09 17:33:10,Ağ,KEYWORD,ENGEL,vm_user_1->vm_user_2
2025-12-09 17:33:12,Ağ,KEYWORD,ENGEL,vm_user_1->vm_user_2
2025-12-09 17:33:16,Ağ,TCKN,ENGEL,vm_user_1->vm_user_2
2025-12-09 17:33:21,Ağ,Temiz,İZİN,vm_user_1->vm_user_2
2025-12-09 17:40:17,Ağ,Hata,HATA,vm_user_2->vm_user_1 (Alıcı Offline)
2025-12-09 20:49:59,Pano,TCKN,ENGEL,User: vm_user_1 | TC: ******2716
2025-12-17 17:37:03,Pano,ANAHTAR_KELİME,ENGEL,User: vm_user_1 | 
2025-12-17 17:38:09,Ağ,Hata,HATA,vm_user_1->vm_user_2 (Alıcı Offline)
2025-12-17 17:39:18,Ağ,Temiz,İZİN,vm_user_2->vm_user_1
2025-12-17 17:39:39,Ağ,Temiz,İZİN,vm_user_1->vm_user_2
2025-12-17 17:40:30,Pano,TCKN,ENGEL,User: vm_user_1 | TC: ******2716
2025-12-17 18:55:54,Ağ,Hata,HATA,vm_user_1->vm_user_2 (Alıcı Offline)
2025-12-17 18:59:23,Network,Error,ERROR,vm_user_1->vm_user_2 (Recipient Offline)
2025-12-17 19:00:52,Clipboard,KEYWORD,BLOCK,User: vm_user_1 | 
2025-12-17 19:01:01,Clipboard,KEYWORD,BLOCK,User: vm_user_1 | 
2025-12-17 19:47:39,Network,Error,ERROR,vm_user_1->vm_user_3 (Recipient Offline)
2025-12-17 19:52:19,Network,Error,ERROR,vm_user_1->vm_user_2 (Recipient Offline)
